case,detection_wilson_lcb,detection_wilson_ucb,deterministic,effect_ratio,family,metric,point,power_gate_pass,round_count,row_type,stage,successes,trajectory_count,trials,wilson_lcb,wilson_ucb
ab/c16/shared/vacuum_g/XZ/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/XZ/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/XZ/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/RESET/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/RESET/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/RESET/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/RESET/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/RESET/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/RESET/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/RESET/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/RESET/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/RESET/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/RESET/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/HOLD/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/HOLD/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/HOLD/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/HOLD/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/HOLD/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/HOLD/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/HOLD/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/HOLD/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/HOLD/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/HOLD/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/LKG_HOLD/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/LKG_HOLD/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/LKG_HOLD/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/vacuum_g/LKG_HOLD/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/LKG_HOLD/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/LKG_HOLD/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/LKG_HOLD/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/vacuum_g/LKG_HOLD/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/LKG_HOLD/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/vacuum_g/LKG_HOLD/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/IDLE/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/IDLE/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/IDLE/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/IDLE/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/IDLE/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/IDLE/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/IDLE/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/IDLE/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/IDLE/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/IDLE/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/X/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/X/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/X/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/X/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/X/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/X/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/X/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/X/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/X/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/X/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/Z/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/Z/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/Z/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/Z/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/Z/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/Z/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/Z/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/Z/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/Z/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/Z/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/XZ/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/XZ/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/XZ/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/XZ/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/XZ/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/XZ/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/XZ/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/XZ/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/XZ/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/XZ/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/RESET/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/RESET/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/RESET/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/RESET/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/RESET/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/RESET/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/RESET/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/RESET/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/RESET/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/RESET/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/HOLD/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/HOLD/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/HOLD/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/HOLD/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/HOLD/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/HOLD/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/HOLD/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/HOLD/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/HOLD/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/HOLD/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/LKG_HOLD/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/LKG_HOLD/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/LKG_HOLD/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/one_g/LKG_HOLD/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/LKG_HOLD/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/LKG_HOLD/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/LKG_HOLD/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/one_g/LKG_HOLD/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/LKG_HOLD/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/one_g/LKG_HOLD/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/IDLE/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/IDLE/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/IDLE/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/IDLE/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/IDLE/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/IDLE/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/IDLE/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/IDLE/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/IDLE/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/IDLE/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/X/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/X/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/X/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/X/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/X/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/X/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/X/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/X/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/X/pairwise_llr_per_sample,,,False,,likelihood_score_posterior,pairwise_llr_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/X/posterior_mean_l1,,,False,,likelihood_score_posterior,posterior_mean_l1,0.12,True,,gate_blueprint,round,,,,1.5,
ab/c16/shared/zero_one_plus_g/Z/density_trace_distance,,,False,,physical_state_channel,density_trace_distance,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/Z/mean_photon_difference,,,False,,physical_state_channel,mean_photon_difference,0.08,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/Z/level_probability_l1,,,False,,physical_state_channel,level_probability_l1,0.1,True,,gate_blueprint,round,,,,2.0,
ab/c16/shared/zero_one_plus_g/Z/predictive_mean_l2,,,False,,iq_conditional_distribution,predictive_mean_l2,0.12,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/Z/predictive_covariance_frobenius,,,False,,iq_conditional_distribution,predictive_covariance_frobenius,0.18,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/Z/predictive_cdf_i_sup,,,False,,iq_conditional_distribution,predictive_cdf_i_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/Z/predictive_cdf_q_sup,,,False,,iq_conditional_distribution,predictive_cdf_q_sup,0.24,True,,gate_blueprint,round,,,,1.25,
ab/c16/shared/zero_one_plus_g/Z/paired_proper_score_per_sample,,,False,,likelihood_score_posterior,paired_proper_score_per_sample,0.0375,True,,gate_blueprint,round,,,,1.5,
